Comuna;Region;Nombre Comun;Nombre Cientifico;Clase;Origen;Periodo de Floracion;
Lonquimay;La Araucania;Diente de Leon;Taraxacum officinale;Hierba;Introducida;Primavera (Sep-Nov);
Lonquimay;La Araucania;Trebol Blanco;Trifolium repens;Hierba;Introducida;Primavera-Verano;
Lonquimay;La Araucania;Cardo;Carduus nutans;Hierba;Introducida;Verano (Dic-Mar);
Lonquimay;La Araucania;Escabiosa;Scabiosa atropurpurea;Hierba;Introducida;Verano (Dic-Mar);
Nueva Imperial;La Araucania;Maqui;Aristotelia chilensis;Arbol/Arbusto;Nativa;Primavera (Oct-Nov);
Nueva Imperial;La Araucania;Boldo;Peumus boldus;Arbol;Nativa;Invierno (Jul-Sep);
Nueva Imperial;La Araucania;Peumo;Cryptocarya alba;Arbol;Nativa;Primavera (Oct-Nov);
Nueva Imperial;La Araucania;Canelo;Drimys winteri;Arbol;Nativa;Primavera (Oct-Dic);
Nueva Imperial;La Araucania;Lingue;Persea lingue;Arbol;Nativa;Primavera (Sep-Nov);
Nueva Imperial;La Araucania;Raps;Brassica rapa;Hierba;Introducida;Primavera (Sep-Nov);
Nueva Imperial;La Araucania;Maravilla;Helianthus annuus;Hierba;Introducida;Verano (Ene-Mar);
Nueva Imperial;La Araucania;Avellano;Gevuina avellana;Arbol;Nativa;Verano (Ene-Feb);
Nueva Imperial;La Araucania;Chequen;Luma chequen;Arbusto;Nativa;Verano (Ene-Feb);
Nueva Imperial;La Araucania;Corcolen;Azara microphylla;Arbusto;Nativa;Primavera (Sep-Nov);
Carahue;La Araucania;Boldo;Peumus boldus;Arbol;Nativa;Invierno (Jul-Sep);
Carahue;La Araucania;Arrayan;Luma apiculata;Arbol;Nativa;Verano (Ene-Feb);
Carahue;La Araucania;Tineo;Weinmannia trichosperma;Arbol;Nativa;Primavera (Nov-Dic);
Carahue;La Araucania;Canelo;Drimys winteri;Arbol;Nativa;Primavera (Oct-Dic);
Carahue;La Araucania;Matico;Buddleja globosa;Arbusto;Nativa;Verano (Dic-Feb);
Carahue;La Araucania;Eucalipto;Eucalyptus globulus;Arbol;Introducida;Verano (Ene-Mar);
Carahue;La Araucania;Papa;Solanum tuberosum;Hierba;Nativa;Verano (Ene-Feb);
Carahue;La Araucania;Olivillo;Aextoxicon punctatum;Arbol;Nativa;Primavera (Sep-Oct);
Carahue;La Araucania;Maqui;Aristotelia chilensis;Arbol/Arbusto;Nativa;Primavera (Oct-Nov);
Carahue;La Araucania;Dedal de Oro;Eschscholzia californica;Hierba;Introducida;Primavera (Sep-Dic);
